ttnamettker,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
maskrayy1|maskrayy1,4500000,7000000,280900,1200,1200
babybella777|Bella Hadid,4400000,3000000,504500,2600,614
trainee_a|Trainee A,2700000,1300000,384000,5300,4200
texasbushman|Texas BUSHMAN,1200000,2400000,242600,1500,6700
ugolord|⚖️ The TikTok Attorney ⚖️,5300000,2800000,281000,5600,497
fedevigevani|Fede Vigevani,12600000,2700000,370400,4000,721
nam_patcharaporn|Namfon,656500,2200000,374000,3000,2600
endomarf|☻☆EndoMarfa☆☻,517200,1700000,516500,3400,2000
dasigantung|Dasi Gantung,5100000,3500000,497800,1500,1200
llucastorresg|Lucas Torres,831400,1500000,328500,4500,4900
bungalow_jonathan|Bungalow Jonathan,251200,1500000,116600,994,25100
.aidenbeaudry|.aidenbeaudry_official,483300,2000000,344800,3100,3500
cbum|Chris Bumstead,2000000,2000000,389100,2600,3200
rebeccazamolo|rebecca zamolo,16800000,2300000,233900,7900,701
farrelhkeem|FA🧛,179100,1800000,292900,2100,6400
cellat36|cellat36,8200000,2400000,212300,6400,2400
clexxd|clexxd,8900000,2400000,227300,8100,118
yodeege|Deege,905900,2300000,366900,1900,3500
brentrivera|Brent Rivera,42800000,2600000,492800,3000,433
herranwalt|Herr Anwalt,5300000,2200000,302700,3800,3000
europaleague|Europa League,2100000,2800000,346800,2000,2500
danivallem|Dani Valle,3900000,1600000,130500,1100,19900
nourmar5|nourmar5,14300000,1300000,145900,13000,10100
nada_m7amed|دودا🦹🏻🤍,5800000,3400000,281200,2300,2300
ox_zung|원정맨 WonJeong,41100000,2800000,399400,3200,727
thor.aya|Thoraya Maronesy,1500000,2700000,468300,2100,1300
caocuongvu|caocuongvu,3400000,2900000,346000,3100,1300
renpc_|✨Ren PC✨,3200000,1700000,318000,2400,5600
julesleblanc|jules,18600000,2900000,657500,1800,516
alexhook2303|Александр,4300000,1300000,253600,10800,2300
laurahfritz|laura & lena,2500000,2200000,400800,1500,3300
corvii_ff|EL CORVII 🍭,10500000,2500000,427700,3800,215
gabimfmoura|Gabriela Moura,7700000,2600000,381300,1900,2400
bottleofdjinn|HIM,706300,2800000,582700,1600,1100
mohmadtra|ترفولتا,1800000,4400000,304700,2000,1200
respectme90|Football  ⚽️ футбол,658100,2000000,243100,3700,5000
soycintiacossio|Cintia Cossio,4100000,5700000,480000,702,838
thegoodhype|Goodlin Siblings,1700000,2500000,443500,1600,2200
carolvillanes|Carol Villanes,4100000,1800000,312300,7000,458
just_jenoah_|Jenoah Santiago,1400000,2400000,488500,1500,2000
datdo0803|Đỗ Đạt,6500000,4600000,368800,1700,732
robgronkowski|gronk,2400000,2400000,332000,1700,3500
___nicoichi___|NICO【平成フラミンゴ】,1300000,2700000,288900,3200,2100
pablitocastilloo|pablitocastilloo,4500000,1800000,225600,1400,9000
iamjonathanpeter|Jonathan Peter,12700000,3200000,379000,999,2400
meowlife7|Cats is life,876400,2300000,311500,1600,4100
pimpiriya1|PIM PIRIYA,1300000,2900000,567900,1200,1300
ferchugimenez|Fernanda,4300000,3300000,456500,1400,1300
homm9k|ХОМЯК,39000000,2800000,385800,3000,752
mndiaye_97|mndiaye_97,14200000,2200000,411900,2300,2200
linatejeiro8|Lina Tejeiro,4000000,4000000,295900,992,2400
www.m4th.com|math!eu,6900,1300000,309200,6500,3500
dovecameron|Dove Cameron,9000000,1800000,380500,4500,1300
sjbleau|SJ,12300000,3600000,420300,1700,914
ginescorreguela|Ginés correguela,776400,2800000,140500,2600,7700
mrzeooficial|MR ZEO 🇩🇴,16100000,2000000,251100,2000,5900
stellajero16|Vester Ajero,1200000,1100000,265700,10900,2500
teokun711abc|テオくん@幸せ者,1200000,2800000,317600,1800,2600
ajo.ozil|𝙆𝙪𝙧𝙣𝙞𝙖 van 𝙂𝙪𝙨𝙢𝙖𝙣,900000,6400000,250800,825,1600
"mr_paul.boy|Паул, либо просто Паша",7200000,2200000,426000,3000,1100
rblx.dreyzon|🤍 ДРЭЙЗОН • РОБЛОКС 🤍,1300000,1900000,234000,7400,1200
mattiastanga|Mattia Stanga,2300000,1600000,242400,1300,8600
hannahbahng|hannahbahng,1900000,1500000,471300,4100,1300
haositofficial|HaositOfficial,1200000,1700000,344600,5600,936
kdramas_klis|✨KLIS✨,860300,2800000,368500,1400,2300
mhc_f_f|✧☽ 𝒹 𝓇 𝑒 𝒶 𝓂 𝒾 𝓃 𝑔 ☾✧,1100000,1700000,269900,1400,7000
yurielkysojeda|Yurielkys Ojeda,12200000,4000000,481000,1300,667
elsalsely00|🥇 السلسيلي 🥇,4300000,4600000,177200,612,4000
mayanelsayed|Mayan El Sayed,3500000,4400000,263500,1200,2100
wasyanka|Василий,2500000,1700000,124000,1000,16800
vidhia_r|Vidhi_R,4400000,2700000,290600,3200,1600
com.yamato0515|【コムドット】やまと,1700000,2000000,271000,4900,1900
kaylamalecc|kayla,6600000,2200000,363100,4400,267
munchieslab|Martín,2700000,2400000,180500,796,7600
albert_cancook|Albert Niazhvinski,4000000,4200000,403400,1400,712
juaniquilador|JuanSGuarnizo,8600000,2000000,452200,1600,2500
cerenyaldz|Ceren Yaldız,9200000,2200000,164500,8500,1300
thedannyphantom|danny,80100,1900000,177100,7800,2700
cindylauw|CindyLauw,148600,2200000,323900,4500,439
