S.no,Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
494,abo.zizo,3700000,225300,723,1500,3700000
495,spriteder_spd,3600000,434900,845,334,3600000
496,ugolord,1900000,186000,4900,369,1900000
497,iamkailan,2400000,219900,1300,2200,2400000
498,lorengray,3100000,358700,879,761,3100000
499,daniuniverse,3100000,322000,956,867,3100000
500,ser_jay,1400000,226200,2500,3500,1400000
501,alexwaarren,2400000,419800,992,809,2400000
502,lkzinhu,2600000,306500,998,1300,2600000
503,joaoferdnan,1700000,173500,2100,4000,1700000
504,taossenpai,1200000,219600,1400,5300,1200000
505,isaach.p,1400000,217200,3500,2300,1400000
506,maddy.leah3,2000000,196300,4300,237,2000000
507,jordanavucetic,1100000,224200,5200,2100,1100000
508,carlevellyn,2000000,349600,2000,572,2000000
509,chinguamiga,2500000,469400,1100,377,2500000
510,elpugaa,2000000,220900,341,3700,2000000
511,reymbayang,1300000,253000,2000,3400,1300000
512,tommyunold,2300000,317800,2200,172,2300000
513,adamw,2400000,266300,915,1800,2400000
514,anna..paull,2400000,424700,1300,375,2400000
515,djadelilyes,2100000,311800,1100,1600,2100000
516,kronnozomberoficial,1400000,289100,2100,2300,1400000
517,outtpig,1500000,341000,1600,1700,1500000
518,rosssmith,1500000,156100,927,6300,1500000
519,glencachysaraofficial,4500000,212300,1300,522,4500000
520,pumatheweirdo,1500000,183000,722,5500,1500000
521,twinsjne,2400000,486900,783,665,2400000
522,andcarli,6300000,212200,684,578,6300000
523,mclivinho,2200000,312200,1400,1000,2200000
524,mrmilothechonk,1500000,313600,1300,2200,1500000
525,kimmigneault,3100000,358700,539,971,3100000
526,unnecessaryinventions,2400000,377900,1400,451,2400000
527,hunterprosper,1700000,320800,1000,2100,1700000
528,bulochkapelmen,2900000,184800,1900,1200,2900000
529,louka__m,1900000,354300,1200,1400,1900000
530,folz.aa,1100000,192300,1800,6000,1100000
531,iloveyourmomscatt,1300000,159300,4900,3300,1300000
